10.1001/mlb001,Machine Learning Basics,AI,John Smith,Sarah Johnson,Michael Brown,Emily Davis,James Wilson,Laura Martinez,Robert Anderson,Linda Thomas,algorithm,active
10.1002/dlg002,Deep Learning Guide,ML,David White,Jessica Harris,William Clark,Barbara Lewis,Daniel Walker,Elizabeth Hall,Matthew Allen,Susan Young,network,deleted
10.1003/dsh003,Data Science Handbook,Data Science,Christopher King,Ashley Wright,Andrew Scott,Rebecca Green,Brian Baker,Patricia Adams,Joshua Nelson,Karen Hill,security,active
10.1004/pfa004,Python for AI,AI,Justin Carter,Stephanie Perez,Alexander Roberts,Nicole Campbell,Brandon Evans,Rachel Mitchell,Tyler Parker,Amanda Rivera,privacy,active
10.1005/nne005,Neural Networks Explained,ML,Kevin Collins,Victoria Stewart,Samuel Morris,Melissa Sanchez,Zachary Reed,Angela Cook,Jeffrey Rogers,Christina Morgan,deep learning,deleted
10.1006/bda006,Big Data Analytics,Data Science,Eric Murphy,Kimberly Bell,Ryan Cooper,Michelle Bailey,Jason Richardson,Lisa Cox,Kyle Howard,Diana Flores,big data,active
10.1007/aih007,AI in Healthcare,AI,Jeremy Ward,Crystal Jenkins,Sean Russell,Teresa Griffin,Nathan Bryant,Carol Long,Marcus Wood,Jennifer Diaz,automation,active
10.1008/cst008,Cybersecurity Trends,Cybersecurity,Adam Powell,Monica Butler,Patrick Simmons,Deborah Foster,Stephen Henderson,Nancy Reed,Justin Fisher,Anna Simmons,analytics,deleted
10.1009/ccf009,Cloud Computing Fundamentals,Cloud Computing,Benjamin Alexander,Victoria James,Ethan Washington,Katherine Bennett,Dylan Ross,Olivia Torres,Travis Gray,Sophia Peterson,computation,active
10.1010/bct010,Blockchain Technology,Blockchain,Henry Jenkins,Laura Sanders,Aaron Russell,Angela Ramirez,Gabriel Cruz,Allison Hughes,Carl Stewart,Jessica Flores,digital,active
10.1011/qcp011,Quantum Computing Primer,Quantum Computing,Lucas Ortiz,Abigail Howard,Evan Rivera,Caitlin Perry,Oscar Butler,Danielle Simmons,Isaac Coleman,Amber Cook,ethics,deleted
10.1012/nlp012,Natural Language Processing,NLP,Connor Griffin,Julia Rogers,Adrian Murphy,Samantha Bryant,Mitchell Rivera,Hailey Hughes,Brandon Jenkins,Erica Russell,smart systems,active
10.1013/cvt013,Computer Vision Techniques,Computer Vision,Colton Barnes,Alyssa Green,Shane Bryant,Nicole Simmons,Grant Watson,Vanessa Peterson,Wyatt Bailey,Melanie Cook,image processing,deleted
10.1014/eth014,Ethical AI,AI,Isaiah Torres,Naomi Coleman,Chase James,Autumn Butler,Dominic Barnes,Claire Perry,Leo Ramirez,Stella Ortiz,bias detection,active
10.1015/iot015,IoT Innovations,IoT,Jesse Griffin,Paige Rogers,Trevor Alexander,Angela Coleman,Caleb Powell,Hailey Russell,Logan Perry,Emma James,automation,active
10.1016/sca016,Smart Cities and AI,AI,Aidan Simmons,Kylie Peterson,Eli Jenkins,Nina Stewart,Julian Ross,Isabel Reed,Carter Bailey,Lily Cruz,urban tech,deleted
10.1017/5gn017,5G Networks,5G Networks,Gage Foster,Charlotte Rivera,Jayden Cook,Scarlett Simmons,Ashton Ward,Brielle Ortiz,Zane Barnes,Gianna Alexander,wireless,active
10.1018/edc018,Edge Computing,Edge Computing,Colby Wood,Ariana Flores,Tristan Howard,Mackenzie Griffin,Devin Reed,Sadie Cruz,Malik Bailey,Peyton Coleman,latency,active
10.1019/ar019,Augmented Reality,AR,Anderson Butler,Serena Ramirez,Dallas Powell,Adeline Perry,Reed Russell,Madeline Barnes,Brycen James,Lillian Torres,immersive,deleted
10.1020/vr020,Virtual Reality,VR,Bryant Watson,Fiona Rogers,Cohen Griffin,Tessa Coleman,Roman Jenkins,Melody Stewart,Shawn Bailey,Clara Simmons,simulation,active
10.1021/gam021,Game Development,Game Dev,Jeremy Powell,Lucy Ramirez,Adrian Hughes,Brianna Griffin,Noah Wood,Elena Barnes,Evan Bailey,Megan Coleman,game engines,active
10.1022/dv022,Digital Visualization,Visualization,Brandon Reed,Lauren Simmons,Dylan Ortiz,Hailey Perry,Isaiah Russell,Kaitlyn Howard,Lucas James,Natalie Cruz,3D rendering,deleted
10.1023/exp023,Exploratory Data Analysis,Data Science,Connor Foster,Sienna Butler,Caleb Watson,Ariana Jenkins,Justin Flores,Emily Simmons,Benjamin Powell,Grace Rivera,data exploration,active
10.1024/mob024,Mobile App Development,Software Eng.,Nathan Green,Ava Bryant,Trevor Jenkins,Olivia Barnes,Landon Ortiz,Sophia Powell,Elijah Reed,Isabel Wood,app development,active
10.1025/cbd025,Cloud-Based Databases,Databases,Joshua Rogers,Harper Cruz,Michael Simmons,Victoria Reed,Gavin Jenkins,Emma Howard,Ethan Barnes,Claire Ortiz,scalability,deleted
10.1026/iap026,Image Analysis Processing,Computer Vision,Tyler Perry,Leah Simmons,Ryan Watson,Mia Reed,Julian Flores,Autumn Ortiz,Henry Cruz,Alyssa Howard,image analysis,active
10.1027/roa027,Robotic Automation,Robotics,Samuel James,Stella Rivera,Alexander Ortiz,Naomi Jenkins,Bryce Simmons,Madeline Foster,Kaitlyn Bailey,Evan Reed,automation,active
10.1028/mlt028,Machine Learning Techniques,ML,Adrian Howard,Natalie Simmons,Lucas Bailey,Isabel Cruz,Trevor Wood,Emily Jenkins,Gage Reed,Lauren Perry,predictive modeling,deleted
10.1029/cir029,Circuit Design,Electrical Eng.,Mason Powell,Sophia Ortiz,Julian Simmons,Clara Howard,Elijah Bailey,Naomi Reed,Isaiah Cruz,Hailey Jenkins,chip design,active
